"Title","Year","Age","IMDb","Rotten.Tomatoes","Netflix","Hulu","Prime.Video","Disney."
"Moving On",2009,NA,7.3,NA,1,0,1,0
"Beat Bugs",2016,"all",7.6,NA,1,0,0,0
"Basketball or Nothing",2019,"7+",7.5,NA,1,0,0,0
"The Iliza Shlesinger Sketch Show",2020,"18+",4.8,NA,1,0,0,0
"Netflix Presents: The Characters",2016,NA,5.1,NA,1,0,0,0
"Days We Stared at the Sun",2010,"16+",7.9,NA,1,0,0,0
"Julie's Greenroom",2017,NA,8.3,NA,1,0,0,0
"13 Reasons Why: Beyond the Reasons",2017,"18+",6.5,NA,1,0,0,0
"La Ley secreta",2018,NA,7.4,NA,1,0,0,0
"Dinotrux",2015,"7+",7,NA,1,0,0,0
"Talking Tom and Friends",2014,"all",6.2,NA,1,0,0,0
"Re:Mind",2017,"18+",5,NA,1,0,0,0
"Diamond Lover",2015,NA,6.2,NA,1,0,0,0
"Outback Truckers",2012,NA,7.5,NA,1,0,0,0
"Astronomy Club: The Sketch Show",2019,"18+",6.9,NA,1,0,0,0
"MegaTruckers",2012,NA,6.9,NA,1,0,0,0
"The Fix",2018,"18+",7.1,NA,1,0,0,0
"The World's War: Forgotten Soldiers of Empire",2014,NA,7.6,NA,1,0,0,0
"Rostered On",2017,"16+",8.4,NA,1,0,0,0
"ThirtTEEN Terrors",2014,"16+",6.9,NA,1,0,0,0
"Molang",2015,"all",8.4,NA,1,0,1,0
"The Lies Within",2019,NA,6.7,NA,1,0,0,0
"Homes By the Sea",2014,NA,8.2,NA,1,0,0,0
"Samantha!",2018,"7+",6.5,NA,1,0,0,0
"Hero Mask",2018,"16+",6.2,NA,1,0,0,0
"First and Last",2018,"18+",6.8,NA,1,0,0,0
"Extraterrestrial",2014,NA,5,0.3,1,0,0,0
"Loving Ibiza: Series",2013,NA,5.7,NA,1,0,0,0
"Witch Hunt: A Century of Murder",2015,"18+",7.1,NA,1,0,0,0
"Close Your Eyes Before It's Dark",2016,NA,7.2,NA,1,0,0,0
"Possessed",2019,NA,6.9,NA,1,0,0,0
"Shine On with Reese",2018,NA,7.6,NA,1,0,0,0
"My Sassy Girl",2017,NA,7,NA,1,0,0,0
"Dirt Every Day",2013,NA,8.2,NA,1,0,0,0
"Haunted",2018,"18+",4.5,NA,1,0,0,0
"Mother Goose Club",2010,NA,7.4,NA,1,0,1,0
"The Horn",2016,NA,8.4,NA,1,0,0,0
"Supervolcano",2005,"7+",6.7,NA,1,0,0,0
"Yu-Gi-Oh! Zexal",2011,"7+",4.8,NA,1,1,1,0
"Friday Night Tykes",2014,"16+",6.8,NA,1,0,0,0
"Horrid Henry",2006,"7+",6.1,NA,1,0,1,0
"Go Back To Where You Came From",2011,"18+",8.1,NA,1,0,0,0
"Swift and Shift Couriers",2008,"18+",7.6,NA,1,0,0,0
"Bare Knuckle Fight Club",2017,NA,6.9,NA,1,0,0,0
"Kuromukuro",2016,"16+",7.2,NA,1,0,0,0
"Booba",2014,"all",7.1,NA,1,0,1,0
"Burnistoun",2009,"16+",7.9,NA,1,0,0,0
"Rosario Tijeras",2016,NA,5.9,NA,1,0,0,0
"Project Mc²",2015,"all",6,NA,1,0,0,0
"Campus",2009,"16+",7.4,NA,1,0,0,0
"Historical Roasts",2019,"18+",5.3,NA,1,0,0,0
"Total Drama Action",2009,"7+",NA,NA,1,0,0,0
"Goldie & Bear",2015,"all",6.4,NA,1,0,0,0
"45 RPM",2019,"16+",7.3,NA,1,0,0,0
"Turbo FAST",2013,"7+",6.6,NA,1,0,0,0
"Storage Wars: Northern Treasures",2017,"18+",5.7,NA,1,0,1,0
"What Happens to My Family?",2014,NA,8.4,NA,1,0,0,0
"Inside the Criminal Mind",2018,"18+",5.4,NA,1,1,0,0
"Estocolmo",2016,"18+",5.8,NA,1,0,0,0
"Bala Loca",2016,NA,8.1,NA,1,0,0,0
"Ingress: The Animation",2018,"all",6.5,NA,1,0,0,0
"Nature's Weirdest Events",2012,"all",6.8,NA,1,0,0,0
"My Little Pony: Equestria Girls",2017,"all",6.5,NA,1,0,0,0
"Snow Wolf Family and Me",2014,"all",8.2,NA,1,0,0,0
"The Good Cop",2015,NA,7.5,NA,1,0,0,0
"Monty Python's Fliegender Zirkus",1972,NA,8.2,NA,1,0,0,0
"My Only Love Song",2017,NA,6.7,NA,1,0,0,0
"21 Thunder",2017,"18+",6.2,NA,1,0,0,0
"Sugar Rush Christmas",2019,NA,6.8,NA,1,0,0,0
"Tong: Memories",2016,"7+",7.7,NA,1,0,0,0
"Smoking",2018,"18+",7.5,NA,1,0,0,0
"Heavy Rescue: 401",2017,"7+",6.9,NA,1,0,0,0
"LEGO Friends",2012,"all",5.2,NA,1,1,1,0
"Fall In Love With Me",2014,NA,7.1,NA,1,0,0,0
"Bat Pat",2016,NA,NA,NA,1,0,1,0
"Ainori Love Wagon: Asian Journey",2017,NA,6.9,NA,1,0,0,0
"The Magic School Bus Rides Again",2017,"all",6.2,NA,1,0,0,0
"Criminal: Germany",2019,NA,NA,NA,1,0,0,0
"Strawberry Shortcake's Berry Bitty Adventures",2010,"all",6.1,NA,1,0,0,0
"Wonders of the Monsoon",2014,NA,8.1,NA,1,0,0,0
"Hyori's Bed and Breakfast",2017,NA,8.5,NA,1,0,0,0
"The Prince Who Turns into a Frog",2005,NA,7.2,NA,1,0,0,0
"Love O2O",2016,"16+",8,NA,1,0,0,0
"Zig and Sharko",2011,"all",6.8,NA,1,0,0,0
"Some Assembly Required",2014,"all",3.5,NA,1,0,1,0
"Anjaan: Rural Myths",2018,NA,6.1,NA,1,0,0,0
"Afflicted",2018,"18+",4.9,NA,1,0,0,0
"Baby Daddy",2015,"16+",6,0.78,1,0,0,0
"Romance of Our Parents",2014,NA,7.6,NA,1,0,0,0
"Fantastic",2016,"16+",7.3,NA,1,0,0,0
"Strong",2016,"7+",7.3,NA,1,0,0,0
"Battlefish",2018,NA,7.2,NA,1,0,0,0
"VeggieTales in the City",2017,NA,6.1,NA,1,0,0,0
"Chug",2014,NA,8.1,NA,1,0,0,0
"Grizzy & the Lemmings",2016,"all",6.6,NA,1,0,0,0
"Six Windows in the Desert",2020,NA,3.9,NA,1,0,0,0
"Apaches",2015,"18+",6.9,NA,1,0,0,0
"Crime Diaries: Night Out",2019,NA,7.8,NA,1,0,0,0
"Puerta 7",2020,"18+",5.5,NA,1,0,0,0
"Pacto de Sangue",2018,NA,7,NA,1,0,0,0
"Lockdown",2006,"7+",7.3,NA,1,0,0,0
"Fate/EXTRA Last Encore",2018,"18+",5.3,NA,1,0,0,0
"Living Undocumented",2019,"18+",6.3,NA,1,0,0,0
"Dawn of the Croods",2015,"7+",5.9,NA,1,0,0,0
"Spirit Riding Free: Riding Academy",2020,NA,7.1,NA,1,0,0,0
"The New Adventures of Figaro Pho",2015,"all",7.1,NA,1,1,0,0
"StarBeam",2020,NA,7.2,NA,1,0,0,0
"Goodbye Mr. Black",2016,NA,6.8,NA,1,0,0,0
"Monster Fish",2007,NA,6.7,NA,1,1,0,0
"Ocean Mysteries with Jeff Corwin",2011,"all",8.2,NA,1,0,1,0
"Spectros",2020,"18+",4.4,NA,1,0,0,0
"revisions",2019,"18+",6.1,NA,1,0,0,0
"The Mortified Guide",2018,"18+",7.8,NA,1,0,0,0
"Dragons: Rescue Riders",2019,"7+",6.4,NA,1,0,0,0
"Conspiracy",2015,NA,6.3,NA,1,0,0,0
"Real Rob",2015,"18+",6.4,NA,1,0,0,0
"Too Young to Die",2012,NA,7.2,NA,1,0,0,0
"World's Busiest Cities",2017,NA,7.3,NA,1,0,0,0
"White Nights",2016,NA,7,NA,1,0,0,0
"Canada's Worst Handyman",2006,"7+",4.6,NA,1,0,0,0
"A Taiwanese Tale of Two Cities",2018,NA,6.3,NA,1,0,0,0
"Hotel Transylvania",2017,"7+",5.3,NA,1,0,0,0
"Tales of Irish Castles",2015,"7+",7.3,NA,1,0,0,0
"India's Frontier Railways",2015,NA,7.9,NA,1,0,0,0
"Prisoner Zero",2016,NA,7.8,NA,1,0,0,0
"Sniffer",2013,NA,6.6,NA,1,0,1,0
"Magmel of the Sea Blue",2019,"7+",6.2,NA,1,0,0,0
"Razia Sultan",2015,NA,5.7,NA,1,0,0,0
"Really Me!",2011,NA,5.3,NA,1,0,0,0
"The Unremarkable Juanquini",2020,"16+",4.1,NA,1,0,0,0
"The Who Was? Show",2018,NA,6.5,NA,1,0,0,0
"Age of Rebellion",2018,NA,8.6,NA,1,0,0,0
"Lo que la verdad esconde: El caso Asunta",2017,"16+",7.4,NA,1,0,0,0
"Castlevania: Hymn of Blood",2012,"18+",7.8,NA,1,0,0,0
"Age of Glory",2016,NA,7.7,NA,1,0,0,0
"We Speak Dance",2018,"7+",7.5,NA,1,0,0,0
"Ninja Turtles: The Next Mutation",1997,"7+",4.4,NA,1,0,0,0
"Don't Watch This",2018,"16+",3.2,NA,1,0,0,0
"Saving Mrs. Go Bong Shil",2011,NA,7.5,NA,1,0,0,0
"The Mekong River with Sue Perkins",2014,NA,7.7,NA,1,0,0,0
"Monty Python's Personal Best",2006,"16+",8,NA,1,0,0,0
"Fire Chasers",2017,NA,6.6,NA,1,0,0,0
"Ainori Love Wagon: African Journey",2020,NA,7.4,NA,1,0,0,0
"Pacific Heat",2016,"16+",5.7,0.17,1,0,0,0
"72 Dangerous Places to Live",2016,"18+",6.4,NA,1,0,0,0
"A Cook Abroad",2015,NA,7.4,NA,1,0,0,0
"The Investigator: A British Crime Story",2016,NA,5.7,NA,1,0,0,0
"Mythomanic",2019,NA,6.8,NA,1,0,0,0
"Club de Cuervos Presents: The Ballad of Hugo Sánchez",2018,"18+",6.6,NA,1,0,0,0
"Hello Ninja",2019,"all",7.5,NA,1,0,0,0
"Murderous Affairs",2016,"16+",6.7,NA,1,0,0,0
"Exhibit A",2019,"18+",6.2,NA,1,0,0,0
"Extreme Engagement",2019,"18+",5.5,NA,1,0,0,0
"Cupcake & Dino - General Services",2018,"7+",7.5,NA,1,0,0,0
"Earth to Luna!",2014,"all",7.4,NA,1,0,1,0
"The Great Escape",2012,NA,5.8,NA,1,0,0,0
"Can We Get Married?",2012,NA,6.7,NA,1,0,0,0
"Super Monsters",2017,"all",6.7,NA,1,0,0,0
"HaMossad: Sipur Kisuy",2017,NA,7.6,NA,1,0,0,0
"Lucid Dream",2017,NA,6.1,NA,1,0,0,0
"Death by Magic",2018,"7+",6.1,NA,1,0,0,0
"Khotey Sikkey",2011,"7+",7.3,NA,1,0,0,0
"Japanese Style Originator",2008,NA,8.2,NA,1,0,0,0
"Singles Villa",2015,NA,7.5,NA,1,0,0,0
"I Am the Ambassador",2014,NA,7.2,NA,1,0,0,0
"The Degenerates",2018,"18+",6.1,NA,1,0,0,0
"Larry Charles' Dangerous World of Comedy",2019,"18+",7.3,NA,1,0,0,0
"Boca Juniors Confidential",2018,"all",6.5,NA,1,0,0,0
"Under Arrest",2016,"16+",7.3,NA,1,0,0,0
"Three Wives, One Husband",2018,NA,6.5,NA,1,0,0,0
"ReBoot: The Guardian Code",2018,"7+",3.7,NA,1,0,0,0
"Bangkok <U+0E23><U+0E31><U+0E01> Stories 2 <U+0E15><U+0E2D><U+0E19> <U+0E44><U+0E21><U+0E48><U+0E40><U+0E14><U+0E35><U+0E22><U+0E07><U+0E2A><U+0E32>",2018,NA,6.9,NA,1,0,0,0
"The Road Trick",2017,NA,6.8,NA,1,0,0,0
"Julius Jr.",2014,NA,5.4,NA,1,0,0,0
"Becoming Champions",2018,"all",6.7,NA,1,0,0,0
"Carver Kings",2015,"7+",8.2,NA,1,0,0,0
"YG Future Strategy Office",2018,"7+",7.1,NA,1,0,0,0
"The Many Faces of Ito",2017,NA,6.7,NA,1,0,0,0
"Age Gap Love",2014,NA,5.8,NA,1,0,0,0
"Three Days of Christmas",2019,"18+",6.8,NA,1,0,0,0
"Empire Games",2018,"7+",5.6,NA,1,0,0,0
"All About the Washingtons",2018,"all",4.2,0.4,1,0,0,0
"Nurses Who Kill",2016,NA,5.9,NA,1,0,1,0
"Black Hollywood: 'They've Gotta Have Us'",2018,NA,7.4,NA,1,0,0,0
"Team Kaylie",2019,NA,4.2,NA,1,0,0,0
"Lo Que la Vida Me Robó",2013,NA,NA,NA,1,0,0,0
"Wake Up",2015,NA,7,NA,1,0,0,0
"Dino Girl Gauko",2019,"7+",7.1,NA,1,0,0,0
"Liquid Science",2017,NA,6.4,NA,1,0,0,0
"Ocean Giants",2011,NA,8.2,NA,1,0,0,0
"Idiotest",2014,"7+",5.7,NA,1,0,0,0
"Jamie and Jimmy's Food Fight Club",2012,NA,6.9,NA,1,0,0,0
"Drug Squad: Costa del Sol",2019,NA,6.6,NA,1,0,0,0
"Skin Wars: Fresh Paint",2016,"16+",6.2,NA,1,0,0,0
"A Thousand Goodnights",2019,NA,NA,NA,1,0,0,0
"My Runway",2016,"7+",6.2,NA,1,0,0,0
"Africa's Deadliest",2011,NA,6.9,NA,1,0,0,0
"The Rap Game",2016,"7+",5.3,NA,1,1,0,0
"Mob Psycho 100",2018,"all",5.1,NA,1,0,0,0
"Flinch",2019,"7+",4,NA,1,0,0,0
"Afghanistan: The Great Game",2012,NA,7.6,NA,1,0,0,0
"Dinotrux: Supercharged",2017,"7+",7.1,NA,1,0,0,0
"Noddy, Toyland Detective",2016,"all",7,NA,1,0,0,0
"Inspector Gadget",2015,"all",4.4,NA,1,0,0,0
"Singapore Social",2019,NA,6.6,NA,1,0,0,0
"Camelia La Texana",2014,NA,7.6,NA,1,0,0,0
"Word Party",2016,"all",6.2,NA,1,0,0,0
"Weekend Aristocrats",2013,NA,NA,NA,1,0,0,0
"Clangers",2015,NA,7.7,NA,1,0,0,0
"Hoff the Record",2015,"16+",6.9,NA,1,0,1,0
"Bindi's Bootcamp",2012,NA,6.2,NA,1,0,0,0
"Best.Worst.Weekend.Ever.",2018,"7+",6.3,NA,1,0,0,0
"Slobby's World",2017,NA,5.8,NA,1,0,0,0
"Chosen",2018,NA,5.5,NA,1,0,0,0
"Popples",1986,"all",6.4,NA,1,0,0,0
"The Goop Lab",2020,"18+",2.3,0.31,1,0,0,0
"The Hairy Bikers' Asian Adventure",2014,"7+",6.9,NA,1,0,0,0
"The Fierce Wife",2010,"16+",6.7,NA,1,0,0,0
"Top 10 Secrets and Mysteries",2016,"7+",5.1,NA,1,0,0,0
"The Gods of Wheat Street",2014,NA,8.2,NA,1,0,0,0
"Brown Nation",2016,NA,6.9,NA,1,0,0,0
"Charlie's Colorforms City",2019,"all",8,NA,1,0,0,0
"Tayee",2018,NA,8.1,NA,1,0,0,0
"El Cartel 2",2010,"16+",6.8,NA,1,0,0,0
"Westside",2018,"16+",5.8,0.2,1,0,0,0
"What is Love",2012,NA,7,NA,1,0,0,0
"The Little Nyonya",2008,NA,NA,NA,1,0,0,0
"Traffic Cops",2003,NA,7.2,NA,1,0,0,0
"44 Cats",2019,NA,6.4,NA,1,0,0,0
"Ghost Town Gold",2012,NA,7,NA,1,0,0,0
"Clash of the Collectables",2017,NA,7.3,NA,1,0,0,0
"The In-Laws",2003,"13+",5.7,0.34,1,0,0,0
"Border Patrol",2002,"7+",NA,NA,1,0,0,0
"Last Hope",2018,"16+",5.8,NA,1,0,0,0
"The Hollywood Masters",2017,NA,7.1,NA,1,0,0,0
"Birdie Buddy",2011,"7+",7.4,NA,1,0,0,0
"The Paper",2008,NA,6.5,NA,1,0,0,0
"Home: Adventures with Tip & Oh",2016,"7+",5.8,NA,1,0,0,0
"The Motorbike Show",2011,NA,8.4,NA,1,0,0,0
"Love, Now",2007,NA,6.1,NA,1,0,0,0
"My Husband Won't Fit",2019,NA,6.7,NA,1,0,0,0
"Rimba Racer",2015,NA,8.1,NA,1,0,0,0
"Court Justice: Sydney",2017,NA,7,NA,1,0,0,0
"The Casketeers",2018,"16+",7.1,NA,1,0,0,0
"Kong: King of the Apes",2016,"7+",5.8,NA,1,0,0,0
"The Dandy",2015,"all",5.9,NA,1,0,0,0
"Panda and Hedgehog",2012,NA,6.1,NA,1,0,0,0
"A Man Called God",2010,NA,5.8,NA,1,0,0,0
"The Judgement",2018,NA,6.8,NA,1,0,0,0
"Animal Airport",2012,NA,7.9,NA,1,0,0,0
"Eugenie Nights - <U+0644><U+064A><U+0627><U+0644><U+064A> <U+0623><U+0648><U+062C><U+064A><U+0646><U+064A>",2018,"16+",7.6,NA,1,0,0,0
"Nailed It! France",2019,NA,6.4,NA,1,0,0,0
"Cromo",2015,"16+",6.8,NA,1,0,0,0
"House Doctor",1998,NA,4.8,NA,1,0,0,0
"The Last Nazis",2009,"7+",6.6,NA,1,0,0,0
"Crime Time",2018,NA,6.6,NA,1,0,0,0
"Happy Jail",2019,"18+",8,NA,1,0,0,0
"All About Love",2010,NA,6.3,NA,1,0,0,0
"Blazing Transfer Students",2017,NA,7.3,NA,1,0,0,0
"72 Cutest Animals",2016,NA,5.7,NA,1,0,0,0
"The Unknown Hitman: The Story of El Cholo Adrián",2017,NA,7.2,NA,1,0,0,0
"Terrorism Close Calls",2018,NA,5.8,NA,1,0,0,0
"Robocar Poli",2011,NA,6.4,NA,1,0,0,0
"La Esquina del Diablo",2015,NA,7.8,NA,1,0,0,0
"Gunslinger Girl: Il Teatrino",2008,"16+",7,NA,1,0,0,0
"Agent",2019,NA,6.4,NA,1,0,0,0
"Voice",2009,NA,7.4,NA,1,0,0,0
"Mahi Way",2010,NA,7.8,NA,1,0,0,0
"Narcoworld: Dope Stories",2019,NA,6.6,NA,1,0,0,0
"The Good Bandit",2019,"18+",7.4,NA,1,0,0,0
"Reno My Reno",2015,NA,8.3,NA,1,0,0,0
"Follow This",2018,"18+",4.8,NA,1,0,0,0
"Fugitiva",2018,"18+",5.6,NA,1,0,0,0
"Jack Hanna's Into the Wild",2007,NA,7.7,NA,1,1,0,0
"Tijuana",2019,"16+",7.1,NA,1,0,0,0
"No Time for Shame",2019,NA,5.3,NA,1,0,0,0
"Lily's Driftwood Bay",2014,"all",7.9,NA,1,0,0,0
"Blood & Treasures",2016,NA,8,NA,1,0,0,0
"Tamra Island",2009,"16+",7.5,NA,1,0,0,0
"Polly Pocket",2018,"7+",6.4,NA,1,1,0,0
"Tiffany Haddish Presents: They Ready",2019,NA,6.3,NA,1,0,0,0
"Delhis vackraste händer",2017,NA,7,NA,1,0,0,0
"Edge of the Universe",2002,NA,NA,NA,1,0,0,0
"Tempel",2016,NA,7,NA,1,0,0,0
"Street Fighter",1995,NA,5.9,NA,1,0,0,0
"In Family We Trust",2018,NA,8,NA,1,0,0,0
"The Naked Truth",2016,"16+",6.6,NA,1,0,0,0
"Premier League Legends",2014,NA,NA,NA,1,0,0,0
"The Dearest Lady",2015,NA,6.4,NA,1,0,0,0
"Masha's Tales",2016,"all",NA,NA,1,0,0,0
"Cloudy with a Chance of Meatballs",2017,"all",3.3,NA,1,0,0,0
"Corazón Valiente",2017,NA,NA,NA,1,1,0,0
"Back Street Girls: Goku Dolls",2018,NA,6.6,NA,1,0,0,0
"Battlefield Recovery",2016,NA,6.5,NA,1,0,1,0
"Non Summit",2014,NA,7.2,NA,1,0,0,0
"Green Door",2019,"18+",6.1,NA,1,0,0,0
"Nailed It! Germany",2020,NA,5.6,NA,1,0,0,0
"Ruta 35",2016,NA,7.4,NA,1,0,0,0
"After the Raves",2016,NA,5.9,NA,1,0,0,0
"Simon",1995,"all",7.3,NA,1,0,0,0
"Daughters of Destiny",2017,NA,NA,NA,1,0,0,0
"Monty Python's Best Bits (mostly)",2014,NA,7.5,NA,1,0,0,0
"Cooking on High",2018,NA,4.9,NA,1,0,0,0
"What's for Sale? With a View",2015,NA,6.8,NA,1,0,0,0
"Ella the Elephant",2013,NA,NA,NA,1,0,0,0
"Inside the Freemasons",2017,NA,5.5,NA,1,0,0,0
"Stand Up and Away! with Brian Regan",2018,"16+",5.8,NA,1,0,0,0
"Poh & Co",2015,NA,7.4,NA,1,0,0,0
"The Cravings",2017,NA,7.2,NA,1,0,0,0
"ARASHI's Diary -Voyage-",2019,NA,6,NA,1,0,0,0
"Styling Hollywood",2019,"16+",7.3,NA,1,0,0,0
"The Crime",2015,NA,6.2,NA,1,0,0,0
"Mega Builders",2010,NA,7,NA,1,0,0,0
"Edha",2018,"18+",4.7,NA,1,0,0,0
"Hidden Singer",2012,NA,6.2,NA,1,0,0,0
"Cold Water Cowboys",2015,NA,6.9,NA,1,0,0,0
"StoryBots Super Songs",2016,NA,8.4,NA,1,0,0,0
"Alien Deep with Bob Ballard",2012,NA,6.7,NA,1,0,0,0
"Love At Seventeen",2016,NA,6.4,NA,1,0,0,0
"Food, Booze & Tattoos",2015,NA,7,NA,1,0,0,0
"Nailed It! Mexico",2019,NA,6.3,NA,1,0,0,0
"Pororo the Little Penguin",2003,"all",5.8,NA,1,1,1,0
"Winsanity",2016,NA,6.1,NA,1,0,0,0
"YooHoo to the Rescue",2019,"all",6.6,NA,1,0,0,0
"Llama Llama",2018,"all",6.1,NA,1,0,0,0
"Care Bears: Welcome to Care-a-Lot",2012,"all",5.4,NA,1,0,0,0
"Monkey Twins",2018,NA,7.6,NA,1,0,0,0
"Richie Rich",2015,"all",3.2,NA,1,0,0,0
"Bad Trips Abroad",2013,NA,5.1,NA,1,0,0,0
"Auntie Duohe",2009,NA,8.5,NA,1,0,0,0
"El Vato",2016,NA,6.7,NA,1,0,0,0
"Dariba Diaries",2014,NA,7,NA,1,0,0,0
"Justin Time",2011,"all",6.7,NA,1,0,0,0
"Devlok with Devdutt Pattanaik",2015,"all",8.1,NA,1,0,0,0
"Buddi",2020,NA,8.2,NA,1,0,0,0
"Top 10 Architecture",2016,"all",7,NA,1,0,0,0
"Lookalikes",2016,NA,6.2,NA,1,0,0,0
"Ponysitters Club",2018,NA,6.7,NA,1,0,0,0
"The Ollie & Moon Show",2017,"all",8.2,NA,1,0,0,0
"Vai Anitta",2018,NA,5.3,NA,1,0,0,0
"P. King Duckling",2018,"all",6.2,NA,1,0,0,0
"Lion Pride",2017,NA,7.3,NA,1,0,0,0
"Love and Fortune",2018,NA,7.5,NA,1,0,0,0
"Women Behind Bars",2008,"16+",6.5,NA,1,0,0,0
"Oh Yuck!",2017,NA,7.4,NA,1,0,0,0
"Bible's Buried Secrets",2011,"all",5.2,NA,1,0,0,0
"Emergency",2015,"16+",7.5,NA,1,0,0,0
"Fifty",2017,NA,8.5,NA,1,0,0,0
"Psiconautas",2015,NA,7,NA,1,0,0,0
"Station Horizon",2015,"7+",7.2,NA,1,0,0,0
"The Sound of Your Heart: Reboot",2018,"7+",5.6,NA,1,0,0,0
"Maya the Bee",2013,"all",5.7,NA,1,0,0,0
"I Am Me!",2015,NA,8.2,NA,1,0,0,0
"Unplanned America",2014,NA,7.8,NA,1,0,1,0
"Care Bears and Cousins",2015,"all",6.7,NA,1,0,0,0
"H2O - Abenteuer Meerjungfrau",2015,"7+",6,NA,1,0,0,0
"Prince of Peoria",2018,"all",5.4,NA,1,0,0,0
"Hunters of the South Seas",2015,NA,8.1,NA,1,0,0,0
"Whisker Wars",2011,NA,5.4,NA,1,0,0,0
"Harvey Street Kids",2018,"7+",6.1,NA,1,0,0,0
"LEGO Elves",2017,NA,6.5,NA,1,0,0,0
"Chuck & Danny's Road Trip",2017,NA,6.9,NA,1,0,0,0
"Serial Killer with Piers Morgan",2017,NA,3.7,NA,1,0,0,0
"Scams",2019,NA,6.2,NA,1,0,0,0
"Martin Clunes: A Man and His Dogs",2008,NA,7.9,NA,1,0,0,0
"Sadqay Tumhare",2014,"7+",7.4,NA,1,0,0,0
"Rebel Without a Kitchen",2013,NA,5.6,NA,1,0,0,0
"Scaredy Squirrel",2011,"all",4.1,NA,1,0,0,0
"True and the Rainbow Kingdom",2017,"all",6.9,NA,1,0,0,0
"Yoko",2016,NA,7.1,NA,1,0,0,0
"Larva",2011,"all",7.4,NA,1,0,0,0
"The Bear Family and Me",2011,NA,8.2,NA,1,0,0,0
"ID-0",2017,"16+",6,NA,1,0,0,0
"Super 4",2014,NA,7.1,NA,1,0,0,0
"Tayo the Little Bus",2010,NA,5.5,NA,1,1,1,0
"Bo on the Go!",2007,"all",5.2,NA,1,0,0,0
"Small Shots",2017,"18+",7,NA,1,0,0,0
"Backroad Bounty",2014,NA,7.6,NA,1,0,0,0
"Cloroformo",2012,NA,7.5,NA,1,0,0,0
"Droppin' Cash: Los Angeles",2018,"16+",3.5,NA,1,0,0,0
"Strong Woman Do Bong Soon",2017,NA,NA,NA,1,0,0,0
"Against the Tide",2014,NA,7.7,NA,1,0,0,0
"Littlest Pet Shop: A World of Our Own",2018,"all",6.4,NA,1,0,0,0
"The Outsiders",2004,"16+",7.4,NA,1,0,0,0
"Office Girls",2011,NA,6.6,NA,1,0,0,0
"Mega Food",2019,NA,6.5,NA,1,0,0,0
"Cabins in the Wild with Dick Strawbridge",2017,"7+",6.6,NA,1,0,0,0
"Ask the Doctor",2017,NA,6.5,NA,1,0,0,0
"Cocaine",2005,NA,7,NA,1,0,0,0
"Black Crows",1983,NA,4.4,NA,1,0,0,0
"Inside the Mind of a Serial Killer",2015,NA,NA,NA,1,0,1,0
"Commandos",2013,NA,6.6,NA,1,0,0,0
"Jusqu'à l'Aube",2020,"18+",3.4,NA,1,0,0,0
"Driven to Kill",2014,NA,6.4,NA,1,0,0,0
"Hairy Bikers: Chicken & Egg",2016,NA,6.6,NA,1,0,0,0
"Dwelling Narrowness",2009,NA,7.3,NA,1,0,0,0
"Transformers: Rescue Bots Academy",2019,"all",6.8,NA,1,0,0,0
"Nailed It! Spain",2019,NA,5.4,NA,1,0,0,0
"Poppy Cat",2013,"all",5.1,NA,1,0,0,0
"Happy 300 Days",2013,NA,4.3,NA,1,0,0,0
"Miss Rose",2012,"all",6,NA,1,0,0,0
"Russell Peters vs. the World",2013,"18+",5.5,NA,1,0,0,0
"Jojo's World",2017,NA,7.5,NA,1,0,0,0
"The Truth Seekers",2016,NA,7.5,NA,1,0,0,0
"Invizimals",2014,"7+",5,NA,1,0,0,0
"Part-Time Idol",2017,"7+",7.2,NA,1,0,0,0
"Secrets of the SAS: In Their Own Words",2016,NA,7.8,NA,1,0,0,0
"Tech Toys 360",2011,NA,8.3,NA,1,0,0,0
"Life Plan A and B",2017,"7+",7.6,NA,1,0,0,0
"When I See You Again",2015,NA,7.1,NA,1,0,0,0
"Operation Proposal",2012,NA,6.6,NA,1,0,0,0
"Vinnie Jones' Toughest Cops",2009,NA,7,NA,1,0,1,0
"Tip the Mouse",2014,NA,6.5,NA,1,0,0,0
"Easy Fortune Happy Life",2009,NA,5.6,NA,1,0,0,0
"Mary Portas: Secret Shopper",2011,NA,6.6,NA,1,0,1,0
"Motorway Cops",2008,NA,6.2,NA,1,0,0,0
"Gordon Buchanan: Elephant Family & Me",2016,"7+",7.7,NA,1,0,0,0
"Borges Importadora",2018,NA,6.2,NA,1,0,0,0
"Splash and Bubbles",2016,"all",6.3,NA,1,0,0,0
"Unriddle",2012,NA,7.6,NA,1,0,0,0
"Yours Fatefully",2012,NA,6.5,NA,1,0,0,0
"Buy Herself",2012,NA,6.2,NA,1,0,0,0
"Hey Qween",2018,NA,5.8,NA,1,0,1,0
"Sammy & Co",2014,NA,5.8,NA,1,0,0,0
"YooHoo & Friends (US)",2012,"all",6.1,NA,1,0,0,0
"Emogenius",2017,NA,3.8,NA,1,0,0,0
"Chip and Potato",2018,"all",6.9,NA,1,0,0,0
"Love Me Or Leave Me",2012,NA,5.6,NA,1,0,0,0
"The Land of Hypocrisy",2018,NA,7.3,NA,1,0,0,0
"LEGO Friends: Girls on a Mission",2018,"all",7,NA,1,0,1,0
"Restaurant Australia",2015,NA,6,NA,1,0,0,0
"Sports on Fire",2015,NA,7.6,NA,1,0,0,0
